,Year,County,State,Zip code,latitude,longitude,Plant Hardiness Zone,Corn Acres Harvested,Sales ($),CV,State ANSI,Ag District,Ag District Code,Concatenated
107,2012,SAN JOAQUIN,CALIFORNIA,95201,37.9,-121.22,9b,49930.0,75406000,3.1,6,SAN JOAQUIN VALLEY,51,SANJOAQUINCALIFORNIA2012
108,2012,STANISLAUS,CALIFORNIA,95307,37.55,-120.96,9b,4911.0,34076000,3.1,6,SAN JOAQUIN VALLEY,51,STANISLAUSCALIFORNIA2012
109,2012,TULARE,CALIFORNIA,93201,35.86,-119.46,9a,15873.0,65713000,3.1,6,SAN JOAQUIN VALLEY,51,TULARECALIFORNIA2012
110,2012,EL DORADO,CALIFORNIA,95613,38.81,-120.89,9a,18.0,31000,3.1,6,SIERRA MOUNTAINS,60,ELDORADOCALIFORNIA2012
111,2012,NEVADA,CALIFORNIA,95712,39.16,-120.95,9a,4.0,0,3.1,6,SIERRA MOUNTAINS,60,NEVADACALIFORNIA2012
112,2012,TUOLUMNE,CALIFORNIA,95305,37.79,-120.27,8b,5.0,4000,3.1,6,SIERRA MOUNTAINS,60,TUOLUMNECALIFORNIA2012
113,2012,SHASTA,CALIFORNIA,96001,40.6,-122.46,9a,60.0,6000,3.1,6,SISKIYOU-SHASTA,20,SHASTACALIFORNIA2012
114,2012,IMPERIAL,CALIFORNIA,92222,32.78,-114.55,10a,580.0,2917000,3.1,6,SOUTHERN CALIFORNIA,80,IMPERIALCALIFORNIA2012
115,2012,ORANGE,CALIFORNIA,90620,33.84,-118.0,10b,370.0,50000,3.1,6,SOUTHERN CALIFORNIA,80,ORANGECALIFORNIA2012
116,2012,SAN BERNARDINO,CALIFORNIA,91701,34.14,-117.61,9b,16.0,1265000,3.1,6,SOUTHERN CALIFORNIA,80,SANBERNARDINOCALIFORNIA2012
117,2012,SAN DIEGO,CALIFORNIA,91901,32.8,-116.71,9b,492.0,244000,3.1,6,SOUTHERN CALIFORNIA,80,SANDIEGOCALIFORNIA2012
118,2012,BENTON,MISSOURI,65325,38.45,-93.2,6a,9181.0,2914000,3.1,29,CENTRAL,50,BENTONMISSOURI2012
119,2012,BOONE,MISSOURI,65010,38.77,-92.25,6a,26733.0,9522000,3.1,29,CENTRAL,50,BOONEMISSOURI2012
120,2012,CALLAWAY,MISSOURI,63388,38.88,-91.76,6a,32148.0,10087000,3.1,29,CENTRAL,50,CALLAWAYMISSOURI2012
121,2012,CAMDEN,MISSOURI,65020,38.0,-92.74,6a,131.0,67000,3.1,29,CENTRAL,50,CAMDENMISSOURI2012
122,2012,COLE,MISSOURI,65023,38.61,-92.4,6a,5580.0,2049000,3.1,29,CENTRAL,50,COLEMISSOURI2012
123,2012,COOPER,MISSOURI,65068,38.81,-92.58,6a,46399.0,14973000,3.1,29,CENTRAL,50,COOPERMISSOURI2012
124,2012,DALLAS,MISSOURI,65590,37.61,-92.9,6b,143.0,297000,3.1,29,CENTRAL,50,DALLASMISSOURI2012
125,2012,HICKORY,MISSOURI,65634,38.02,-93.22,6b,1733.0,709000,3.1,29,CENTRAL,50,HICKORYMISSOURI2012
126,2012,HOWARD,MISSOURI,65230,39.26,-92.7,6a,34995.0,13979000,3.1,29,CENTRAL,50,HOWARDMISSOURI2012
127,2012,LACLEDE,MISSOURI,65463,37.85,-92.78,6b,3939.0,1994000,3.1,29,CENTRAL,50,LACLEDEMISSOURI2012
128,2012,MARIES,MISSOURI,65013,38.28,-91.72,6a,1581.0,601000,3.1,29,CENTRAL,50,MARIESMISSOURI2012
129,2012,MILLER,MISSOURI,65017,38.08,-92.48,6a,1039.0,965000,3.1,29,CENTRAL,50,MILLERMISSOURI2012
130,2012,MONITEAU,MISSOURI,65018,38.63,-92.56,6a,10217.0,3425000,3.1,29,CENTRAL,50,MONITEAUMISSOURI2012
131,2012,MORGAN,MISSOURI,65011,38.37,-92.67,6a,5263.0,2004000,3.1,29,CENTRAL,50,MORGANMISSOURI2012
132,2012,OSAGE,MISSOURI,65001,38.29,-92.02,6a,10013.0,5785000,3.1,29,CENTRAL,50,OSAGEMISSOURI2012
133,2012,PETTIS,MISSOURI,65301,38.7,-93.23,6a,62534.0,16044000,3.1,29,CENTRAL,50,PETTISMISSOURI2012
134,2012,PHELPS,MISSOURI,65401,37.94,-91.76,6a,230.0,98000,3.1,29,CENTRAL,50,PHELPSMISSOURI2012
135,2012,POLK,MISSOURI,65601,37.54,-93.55,6b,1158.0,780000,3.1,29,CENTRAL,50,POLKMISSOURI2012
136,2012,PULASKI,MISSOURI,65452,37.94,-92.26,6a,549.0,310000,3.1,29,CENTRAL,50,PULASKIMISSOURI2012
137,2012,SALINE,MISSOURI,65320,39.07,-92.95,6a,149072.0,79618000,3.1,29,CENTRAL,50,SALINEMISSOURI2012
138,2012,CRAWFORD,MISSOURI,65441,38.15,-91.24,6a,631.0,129000,3.1,29,EAST,60,CRAWFORDMISSOURI2012
139,2012,FRANKLIN,MISSOURI,63013,38.41,-91.19,6a,22854.0,8233000,3.1,29,EAST,60,FRANKLINMISSOURI2012
140,2012,GASCONADE,MISSOURI,63091,38.38,-91.4,6a,5051.0,1932000,3.1,29,EAST,60,GASCONADEMISSOURI2012
141,2012,JEFFERSON,MISSOURI,63010,38.42,-90.36,6b,3893.0,1016000,3.1,29,EAST,60,JEFFERSONMISSOURI2012
142,2012,LINCOLN,MISSOURI,63343,39.17,-90.78,6a,56260.0,12362000,3.1,29,EAST,60,LINCOLNMISSOURI2012
143,2012,MONTGOMERY,MISSOURI,63333,39.0,-91.35,6a,65717.0,14223000,3.1,29,EAST,60,MONTGOMERYMISSOURI2012
144,2012,PERRY,MISSOURI,63732,37.63,-89.58,6b,30326.0,10910000,3.1,29,EAST,60,PERRYMISSOURI2012
145,2012,ST CHARLES,MISSOURI,63301,38.79,-90.51,6a,45859.0,23091000,3.1,29,EAST,60,SAINTCHARLESMISSOURI2012
146,2012,ST FRANCOIS,MISSOURI,63036,37.97,-90.38,6a,1281.0,561000,3.1,29,EAST,60,SAINTFRANCOISMISSOURI2012
147,2012,STE GENEVIEVE,MISSOURI,63627,38.01,-90.21,6b,14891.0,5444000,3.1,29,EAST,60,SAINTGENEVIEVEMISSOURI2012
148,2012,WARREN,MISSOURI,63342,38.6,-90.99,6a,23124.0,7204000,3.1,29,EAST,60,WARRENMISSOURI2012
149,2012,ADAIR,MISSOURI,63501,40.19,-92.57,5b,14150.0,3742000,3.1,29,NORTH CENTRAL,20,ADAIRMISSOURI2012
150,2012,CARROLL,MISSOURI,64622,39.45,-93.52,6a,92545.0,51433000,3.1,29,NORTH CENTRAL,20,CARROLLMISSOURI2012
151,2012,CHARITON,MISSOURI,64660,39.59,-93.13,6a,71298.0,33896000,3.1,29,NORTH CENTRAL,20,CHARITONMISSOURI2012
152,2012,GRUNDY,MISSOURI,64641,40.12,-93.38,5b,20269.0,8017000,3.1,29,NORTH CENTRAL,20,GRUNDYMISSOURI2012
153,2012,LINN,MISSOURI,63557,39.95,-92.88,5b,30190.0,10088000,3.1,29,NORTH CENTRAL,20,LINNMISSOURI2012
154,2012,LIVINGSTON,MISSOURI,64601,39.79,-93.55,5b,34723.0,11330000,3.1,29,NORTH CENTRAL,20,LIVINGSTONMISSOURI2012
155,2012,MACON,MISSOURI,63431,39.74,-92.31,5b,30492.0,7549000,3.1,29,NORTH CENTRAL,20,MACONMISSOURI2012
156,2012,MERCER,MISSOURI,64661,40.51,-93.52,5b,18839.0,6017000,3.1,29,NORTH CENTRAL,20,MERCERMISSOURI2012
157,2012,PUTNAM,MISSOURI,63551,40.49,-92.69,5b,13898.0,4652000,3.1,29,NORTH CENTRAL,20,PUTNAMMISSOURI2012
158,2012,RANDOLPH,MISSOURI,65239,39.51,-92.44,6a,12836.0,4474000,3.1,29,NORTH CENTRAL,20,RANDOLPHMISSOURI2012
159,2012,SCHUYLER,MISSOURI,63535,40.58,-92.63,5b,9459.0,3565000,3.1,29,NORTH CENTRAL,20,SCHUYLERMISSOURI2012
160,2012,SULLIVAN,MISSOURI,63544,40.26,-92.87,5b,13644.0,5909000,3.1,29,NORTH CENTRAL,20,SULLIVANMISSOURI2012
161,2012,AUDRAIN,MISSOURI,63345,39.27,-91.57,6a,117379.0,27193000,3.1,29,NORTHEAST,30,AUDRAINMISSOURI2012
